fold,agent_enabled,final,net_pct,worst_dd_pct,trades,raw_trades,wr_pct,take,skip,reduce,boost
118,False,1875.34,56.28,-8.71,29,29,44.83,29,0,0,0
119,False,2632.94,119.41,-18.23,51,51,45.1,51,0,0,0
120,False,1716.75,43.06,-23.87,35,35,40.0,35,0,0,0
121,False,1545.4,28.78,-15.71,22,22,40.91,22,0,0,0
122,False,1696.14,41.34,-21.53,36,36,38.89,36,0,0,0
123,False,3654.98,204.58,-16.79,44,44,54.55,44,0,0,0
124,False,1764.75,47.06,-22.49,38,38,39.47,38,0,0,0
125,False,1755.84,46.32,-14.29,28,28,42.86,28,0,0,0
126,False,3284.52,173.71,-5.58,24,24,70.83,24,0,0,0
127,False,1757.27,46.44,-8.78,28,28,42.86,28,0,0,0
128,False,1506.5,25.54,-20.52,26,26,38.46,26,0,0,0
129,False,3490.39,190.87,-11.4,41,41,56.1,41,0,0,0
130,True,2151.73,79.31,-10.21,39,39,46.15,32,0,6,1
131,True,2839.8,136.65,-10.13,35,35,54.29,33,0,2,0
132,True,2629.06,119.09,-9.98,37,37,51.35,32,0,3,2
133,True,4267.1,255.59,-7.06,36,36,63.89,29,0,2,5
134,True,2815.75,134.65,-9.57,33,33,54.55,23,0,2,8
135,True,2125.84,77.15,-12.5,33,33,48.48,13,0,12,8
136,True,8145.95,578.83,-8.25,47,47,68.09,27,0,1,19
137,True,3368.34,180.7,-9.09,44,44,52.27,32,0,1,11
138,True,5311.0,342.58,-12.98,54,54,55.56,19,0,6,29
139,True,2199.02,83.25,-13.79,45,45,46.67,17,0,21,7
140,True,2493.93,107.83,-14.38,35,59,51.43,13,24,9,13
141,True,4331.74,260.98,-9.28,36,36,63.89,21,0,1,14
142,True,3073.85,156.15,-11.3,43,43,51.16,24,0,7,12
143,True,2702.04,125.17,-10.1,37,37,51.35,14,0,4,19
144,True,7550.65,529.22,-5.64,52,52,63.46,38,0,0,14
145,True,1160.89,-3.26,-14.5,12,35,25.0,4,23,5,3
146,True,3831.71,219.31,-13.43,44,44,54.55,14,0,6,24
147,True,1667.75,38.98,-12.94,39,39,41.03,11,0,18,10
148,True,1996.15,66.35,-12.57,38,38,42.11,12,0,13,13
149,True,1202.55,0.21,-15.22,17,42,29.41,7,25,7,3
150,True,3465.36,188.78,-13.84,50,50,52.0,29,0,8,13
151,True,2884.18,140.35,-12.78,39,39,51.28,24,0,5,10
152,True,2268.72,89.06,-14.48,31,38,45.16,4,7,4,23
153,True,2152.82,79.4,-9.58,23,23,56.52,12,0,3,8
154,True,2280.95,90.08,-10.91,29,29,51.72,16,0,3,10
155,True,1921.08,60.09,-13.47,34,34,41.18,13,0,9,12
156,True,1756.77,46.4,-14.78,39,43,43.59,13,4,10,16
157,True,3135.56,161.3,-6.89,26,26,65.38,18,0,0,8
158,True,4769.97,297.5,-10.38,46,46,60.87,29,0,3,14
159,True,2663.5,121.96,-12.18,33,33,51.52,13,0,6,14
160,True,2362.54,96.88,-14.96,32,40,46.88,14,8,8,10
161,True,5310.64,342.55,-11.99,43,43,62.79,16,0,6,21
162,True,3387.31,182.28,-13.03,45,45,51.11,18,0,5,22
163,True,3484.49,190.37,-12.22,46,46,52.17,18,0,12,16
164,True,1864.43,55.37,-34.1,28,56,57.14,8,28,0,20
165,True,12090.24,907.52,-10.48,49,49,73.47,18,0,2,29
166,True,4435.98,269.67,-9.34,43,43,58.14,13,0,1,29
167,True,11708.7,875.73,-12.1,69,69,60.87,19,0,5,45
168,True,7565.2,530.43,-9.45,54,54,61.11,15,0,0,39
169,True,4202.69,250.22,-12.83,50,50,56.0,10,0,13,27
170,True,7551.38,529.28,-8.71,54,54,61.11,22,0,0,32
171,True,8564.74,613.73,-10.7,49,49,69.39,14,0,3,32
172,True,5697.07,374.76,-9.37,43,43,62.79,13,0,2,28
173,True,4214.36,251.2,-10.1,50,50,54.0,12,0,4,34
174,True,7948.44,562.37,-12.61,45,45,68.89,4,0,6,35
175,True,9706.04,708.84,-11.69,56,56,64.29,4,0,7,45
176,True,3137.29,161.44,-13.28,30,30,56.67,5,0,4,21
177,True,2659.82,121.65,-11.63,42,42,47.62,4,0,10,28
178,True,6173.51,414.46,-9.34,44,44,63.64,9,0,1,34
179,True,4278.22,256.52,-11.6,36,36,58.33,5,0,1,30
180,True,2344.25,95.35,-6.54,26,26,53.85,3,0,0,23
